name,startDate,endDate,location,lat,lon,organization,guest
Südtirol - Trentino Junior Cup,20/04/2024,,Centro d'alpinismo Lagorai,,,,
Südtirol - Trentino Junior Cup,21/04/2024,,Centro d'alpinismo Lagorai,,,,
Revolution Fest,31/05/2024,,Campo da calcio Agnedo,,,Unione sportiva Castel Ivano ASD,
Ortigaralefre in festa,02/06/2024,,Campo da calcio Agnedo,,,ASD Ortigaralefre,
Corso di arrampicata,12/06/2024,,Centro d'alpinismo Lagorai,,,Unione sportiva Villagnedo ASD,
Corso di arrampicata,20/06/2024,,Centro d'alpinismo Lagorai,,,Unione sportiva Villagnedo ASD,
Corso di arrampicata,27/06/2024,,Centro d'alpinismo Lagorai,,,Unione sportiva Villagnedo ASD,
Corso di arrampicata,04/07/2024,,Centro d'alpinismo Lagorai,,,Unione sportiva Villagnedo ASD,
Corso di arrampicata,11/07/2024,,Centro d'alpinismo Lagorai,,,Unione sportiva Villagnedo ASD,
L'arte de l'ombrìa. Canti diVersi,,,Campo da calcetto Spera,,,,
Festa di inizio estate,13:00 - 24:00,,Centro d'alpinismo Lagorai,,,Unione sportiva Villagnedo ASD,
Meet sport 2023,,,Campo da calcio Agnedo,,,,